QID,Wikipedia_Title
Q368902,Kurban Berdyev
Q47720,The People of Freedom
Q57652,Helle Thorning-Schmidt
Q3113251,Graham Harman
Q16931775,"Minister of Employment, Workforce Development and Official Languages"
Q3529850,Matt Prior
Q1334384,Rob Gronkowski
Q19281782,Robert Califf
Q10325468,Marcos Nogueira Eberlin
Q6587944,Iran national under-20 football team
Q28871758,Gebremedhin Haile
Q28982,New Flemish Alliance
Q4993674,Geological Survey of Denmark and Greenland
Q2710509,Grant McCann
Q157376,Golden State Warriors
Q426963,Communist Party of Nepal (Unified Marxist–Leninist)
Q662528,"Federal Department of Economic Affairs, Education and Research"
Q720326,Luboš Kozel
Q5255564,Vice Chair of the House Democratic Caucus
Q263566,Maria Badia i Cutchet
Q36740,Aung San Suu Kyi
Q746879,Medical Research Council (United Kingdom)
Q649288,Marco Doria
Q5831,Melilla
Q120064,KF Luftëtari
Q9331,Flemish Community
Q3529894,Tim Bresnan
Q189671,FC Basel
Q8701,Atlético Madrid
Q7056796,North South University
Q61,"Washington, D.C."
Q962610,Dirk Geeraerd
Q463774,Elena Udrea
Q10363936,Rodrigo Rollemberg
Q43310,Germany national football team
Q4696248,Ahn Sang-soo (Incheon mayor)
Q4422083,Skolkovo Institute of Science and Technology
Q1094295,Gold Coast Suns
Q3126401,Hamed Bakayoko
Q6148666,Jan Bøhler
Q674216,Lonza Group
Q4417193,Ata Serdarow
Q2090478,Communist Party of Nepal (United)
Q565400,Max Planck Institute for Informatics
Q191101,FC BATE Borisov
Q2475123,Jussi Pajunen
Q18515,Grimsby Town F.C.
Q1729117,Cardinal Vicar
Q948455,Robert Maaskant
Q266793,Theresa Villiers
Q1784080,Ronny Deila
Q15294976,Sportivo Ameliano
Q3356730,Minister of Climate and the Environment (Norway)
Q487074,Timo Schultz
Q651061,Heinrich Böll Foundation
Q23548,NASA
Q971163,TMC (TV channel)
Q2366466,Ville Niinistö
Q1040719,Lleida CF
Q5043632,Carmencita Reyes
Q4132020,Guiseley A.F.C.
Q6866255,Minister of Multiculturalism and Citizenship
Q1758683,Daniel Xhafaj
Q5335212,Ed Murray (Washington politician)
Q1353939,Etsy
Q80310717,Pellegrino Matarazzo
Q438819,Päivi Räsänen
Q2268833,K Beerschot VA
Q217717,American Museum of Natural History
Q9455382,Joshua Wong
Q16733347,Nick Brown (academic)
Q2483171,Andrey Razin
Q2936203,Canberra United FC
Q1710659,Juan Uribe
Q20641486,Maksim Shvetsov
Q1853515,Lieutenant Governor of Arkansas
Q1183,Puerto Rico
Q5020655,California Labor and Workforce Development Agency
Q1716712,Marcel Ketelaer
Q24703451,First ladies and gentlemen of Argentina
Q1985420,Hristo Kolev
Q62810,Andrea Nahles
Q18522,Mansfield Town F.C.
Q502121,BlackBerry Limited
Q5370905,Kobe Municipal Transportation Bureau
Q42212481,Keith A. Crandall
Q310730,John Mensah
Q41244,Andriy Shevchenko
Q764179,Marcus Sorg
Q11796967,Minister for Education (Australia)
Q163534,Austria national football team
Q7296640,Ravi Karunanayake
Q171543,Ukyo Katayama
Q1109135,College of Europe
Q688816,Verbund
Q225,Bosnia and Herzegovina
Q2633482,Pompiliu Stoica
Q17000581,Joan Carrillo
Q459998,Ichirō Ozawa
Q203934,PASOK
Q845772,FK Partizani Tirana
Q51749570,Samiollah Hosseini Makarem
Q1452120,Social Agreement (Greece)
Q684132,Armenia national under-21 football team
Q1355327,Executive Office of the President of the United States
Q5186174,Cristian Coroian
Q179029,Sabah
Q219657,Frank de Boer
Q3495460,Stacy McGaugh
Q4678848,Adam Chicksen
Q696757,University of Duisburg-Essen
Q15379214,Lorenia Valles Sampedro
Q1329269,Wharton School
Q2740062,Mugur Gușatu
Q7461040,Shafie Apdal
Q1447181,NJ/NY Gotham FC
Q470748,Max Baucus
Q11768297,Marek Magierowski
Q48939,Exeter City F.C.
Q10225,Indian National Congress
Q117059,Associated British Foods
Q239528,Singapore national football team
Q1066799,Broad Front (Uruguay)
Q709307,Hau Lung-pin
Q214683,TF1
Q920195,Eamon Ryan
Q1533524,Vice-President of the Gambia
Q49128,Drew Gilpin Faust
Q208228,Stade de Reims
Q2065090,Paweł Adamowicz
Q683017,Steve Smith Sr.
Q1423756,Texas Tech University
Q6608367,Indiana University
Q478341,Baloise–Trek Lions
Q1795928,King Abdulaziz University
Q4816360,Atlantic City Weekly
Q15895747,Barbados Royals
Q1807481,Oslo Tunnel
Q1178612,Gyula Molnár
Q2752922,England national under-17 football team
Q865528,University of Warwick
Q1086856,Chris Montgomery
Q1788018,Derbyshire County Cricket Club
Q3551402,De Montfort University
Q63101986,Transitional Military Council (2019)
Q971981,Simon Grayson
Q29872,Die Welt
Q3616,Tehran
Q16118,Manuela M. Veloso
Q24680,FC Utrecht
Q47762277,Joel Matthias Konzen
Q503415,"University of Maryland, College Park"
Q2162038,Eric Van Lancker
Q181854,Lappeenranta
Q5300478,Doug Ford
Q1261965,Mirela Holy
Q219241,Falkirk F.C.
Q723457,Klaksvíkar Ítróttarfelag
Q616635,Tunahan Kuzu
Q329607,IFK Norrköping
Q434706,Elizabeth Warren
Q6757714,Marco Silva
Q44376602,Suzanne Landau
Q219233,SBV Vitesse
Q6597955,President of the National Assembly of Venezuela
Q58325299,David Charles Benton
Q7635289,Sui Northern Gas Pipelines Limited
Q2331381,Croatia national under-21 football team
Q948558,Executive Vice President of the European Commission for A Europe Fit for the Digital Age
Q130521,Guangzhou F.C.
Q235,Monaco
Q556688,Ivan Jurić
Q272346,Stephen Timms
Q27037814,President of the Board of Trade
Q1262822,FC Botoșani
Q170117,FC Ingolstadt 04
Q8448523,Tomáš Požár
Q5589655,Governor of Hawaii
Q61053,Olaf Scholz
Q12817,Probal Dasgupta
Q126503,Filippo Inzaghi
Q113841,Bekim Balaj
Q1254704,Zimbabwe national cricket team
Q1096654,Hendrick Motorsports
Q2398472,Soumeylou Boubèye Maïga
Q1023193,C.D. Irapuato
Q55910,Jerzy Buzek
Q847533,Kōbe Rapid Transit Railway
Q57882,Luc-Adolphe Tiao
Q204407,Ramires
Q667680,GroenLinks
Q1726930,Christophe Castaner
Q3226797,Le Rêve (show)
Q6967314,Nasreena Ibrahim
Q558887,Hiroki Sakai
Q35172580,Jevon Carter
Q98053664,Mark Phillips (Guyanese politician)
Q6811383,Melanie Wood
Q5365041,Famitsu Bunko
Q376237,Chris Baird
Q2178668,Réal Ménard
Q4294587,Ministry of Minority Affairs
Q1148720,Dempo SC
Q27975668,Lisa M. Given
Q31095250,Paul Ramchandani
Q213451,Green Party (Sweden)
Q5517255,Gainesville High School (Georgia)
Q15807383,Edward Bernard Scharfenberger
Q16955,Tsinghua University
Q28112871,Chau-Chyun Chen
Q107796,Markus Rosenberg
Q935203,GNS Science
Q7024,Lugano
Q130212,Székesfehérvár
Q327536,Nathan Redmond
Q283790,Flybe (1979–2020)
Q240783,AC Omonia
Q368987,Ștefan Stoica (footballer)
Q2822445,New York Academy of Medicine
Q270051,AC Ajaccio
Q336498,Bruno Akrapović
Q283760,Al-Arabi SC (Qatar)
Q5481036,Francis Slay
Q708808,Tayfun Korkut
Q18345416,Ministry of Water Supply (Sri Lanka)
Q170105,Stuttgarter Kickers
Q17059070,Lieutenant Governor of North Dakota
Q121998,Ambassador
Q1526049,Connah's Quay Nomads F.C.
Q348813,Fraser Forster
Q10686263,Minister for Education (Sweden)
Q1986486,Nicolas Bratza
Q27791565,Ilkeston Town F.C.
Q311278,Jack Straw
Q1196,Mecklenburg-Vorpommern
Q63879,Chris Christie
Q50425487,Sabrina Ionescu
Q4392537,Hwang Woo-yea
Q19442,Barnsley F.C.
Q157037,Nuncio
Q51974,Hamburger SV
Q260725,Megan Rapinoe
Q10534955,Indian National Lok Dal
Q3628975,Atli Sveinn Þórarinsson
Q16669774,Philippe Saurel
Q1018476,"Neil Harris (footballer, born 1977)"
Q1666743,International Livestock Research Institute
Q16321336,Shadow Secretary of State for Work and Pensions
Q10357316,Ramal do Porto de Aveiro
Q1444125,National University of Malaysia
Q1512945,Gerhart Holzinger
Q1072417,Chief of Staff of the United States Air Force
Q318539,Sébastien Bassong
Q68060,Gianluigi Buffon
Q87767345,White House Coronavirus Task Force
Q421739,National University of Distance Education
Q666504,Giuliano Pisapia
Q3519679,Dinesh Karthik
Q691423,Ionel Gane
Q2176791,Gazprom–RusVelo
Q59654473,Caroline Uhler
Q707862,Santo Versace
Q6013951,Miguel Barbosa Huerta
Q30387980,Cécile Rilhac
Q180845,Bulgaria national football team
Q44612,Horst Seehofer
Q15710599,Kristina Vaculik
Q3355352,Royal Institute of Art
Q1523030,Etrit Berisha
Q216773,FC Vaduz
Q166616,Thomas Reiter
Q167790,Edinson Cavani
Q29570162,Carolyn Fischer
Q852753,Queen's Park F.C.
Q4679647,Adam Reach
Q4205657,Yang di-Pertua Negeri of Sarawak
Q3817070,Santiago Fisas
Q1276685,Olympique Lyonnais Féminin
Q45,Portugal
Q3518225,Teodor Baconschi
Q29650223,Timothy Masiu
Q841245,FC Argeș Pitești
Q7086136,Oleg Sidorenkov
Q182558,Johnnie Jackson
Q17072806,Opelika-Auburn News
Q16,Canada
Q27049905,Kashif Ahmad
Q18510,Dartford F.C.
Q1064589,Prime Minister of Haiti
Q12001809,Věra Jourová
Q55584367,Ivan Bionchik
Q6705642,Luther Strange
Q3065388,Hans de Koning
Q3858507,Secretary of State for Business and Trade
Q2118564,Salisbury City F.C.
Q56606095,Sarah Martins Da Silva
Q3546162,Philippine Navy
Q17158,Carles Puyol
Q19874603,Ian Jacobs (oncologist)
Q310207,McKinsey & Company
Q1904705,Rutger Arisz
Q228,Andorra
Q20801664,Governor of Iowa
Q13845,Maguindanao
Q151747,Fortuna Düsseldorf
Q76741549,Louise Gullifer
Q132410,Mpumalanga
Q6953120,"NCG Banco, S.A."
Q1997515,Alexander Argüelles
Q39075032,Kobbi Nissim
Q759210,Givenchy
Q682990,Vlaams Belang
Q24250,Frank Guinta
Q128900,Christian Gourcuff
Q725692,Darren Moore
Q66498816,Penny James
Q9697059,Carlos Fangueiro
Q134916,Uruguay national football team
Q163225,Sonia Gandhi
Q37548,Northeastern University
Q21264645,Sharon Tooze
Q259412,Philippe Gilbert
Q2641,SSC Napoli
Q19921375,Peter M. Christian
Q3173,Green Alliance (Russia)
Q28925194,Danny Cowley
Q6516073,Olav Gunnar Ballo
Q26580,Antonio Conte
Q1393218,Fairfax Media
Q45378778,Elaine Saunders (scientist)
Q103884,Christoph M. Schmidt
Q119026,Gerd Dais
Q14284,Solicitor
Q7840491,Tribune Publishing
Q2689124,Landmark Trust
Q56434101,Bruno Lage
Q16192933,Mohammad Shtayyeh
Q1320229,Queens Museum
Q1278095,Eastbourne Borough F.C.
Q20012759,The Republicans (France)
Q4891067,Joana Ortega
Q1110067,Collège international de philosophie
Q6539724,Liam Moore
Q57590,Mykola Azarov
Q593165,Flavius Stoican
Q4122271,Premier of China
Q855168,BiFi
Q704389,Arsen Avakov
Q894605,Boston United F.C.
Q4491439,Oleg Fomenko
Q476918,Michael Oenning
Q10346582,Paulo Fonseca
Q568605,Minister for Foreign Affairs (Germany)
Q3606266,Afrim Tovërlani
Q3352654,Younis Khan
Q132893,Dallas Mavericks
Q499510,University of Liverpool
Q15735639,María Sefidari
Q24665,Santa Cruz Warriors
Q243833,Zweli Mkhize
Q7413160,Samy Azer
Q1778763,Robin Chaigneau
Q556570,Ankaraspor
Q12618957,Chun Jung-bae
Q3182451,Lois Frankel
Q7660178,Sydney Thunder
Q931704,OFI Crete F.C.
Q55820332,Mathieu Chabert
Q2589648,Steve Alford
Q2305526,Western Bulldogs
Q48215025,Stram Kurs
Q115877,Fulvio Pelli
Q6813340,Melodie Robinson
Q1168882,Vladimir Mukhanov
Q2000065,University of Cádiz
Q26822072,Guido Reil
Q737947,IK Start
Q2833834,Mikalay Branfilaw
Q6508571,Leader of the Opposition (Victoria)
Q20656305,United National Front for Good Governance
Q8646,Hong Kong
Q45202501,Odair Hellmann
Q98971210,Independent Greens (Denmark)
Q324523,Las Vegas Raiders
Q85806,Christian Lindner
Q29253032,Josep Guerrero
Q1907,Hugo Lloris
Q901237,Julio Velázquez
Q1268462,Mike Eman
Q348144,Hassan Rouhani
Q57808,Shavkat Mirziyoyev
Q11697229,Pablo Machín
Q919120,Willis Group
Q54893,FC Barcelona Bàsquet
Q1588638,Hassania Agadir
Q6860410,Milomir Odović
Q1677579,Jack Lew
Q104678,Bodo Ramelow
Q2890246,National Electoral Council (Venezuela)
Q182973,University of Iowa
Q3323965,Juan Merino
Q48885114,Tamás Soproni
Q317070,University of Mannheim
Q340,Montreal
Q2618302,Stuart Rose
Q1444132,Frank Scholze
Q617352,Davies Nkausu
Q212101,Social Democrats (Denmark)
Q2118869,Yvan Mayeur
Q3325616,Anticapitalistas
Q152377,Marco Reus
Q156959,Merck Group
Q2083868,Egmont Group
Q64373817,Élisabeth Moreno
Q17410841,Dimyati Natakusumah
Q3759822,Gennaro Migliore
Q215841,Joleon Lescott
Q6508576,Opposition House Leader
Q3335802,Nantes Metropolis
Q561004,Sunil Chhetri
Q5800058,David Hernández de la Fuente
Q59719,Adam Lallana
Q279045,Hamburger Abendblatt
Q268584,Dominic Raab
Q2347256,JS Saint-Pierroise
Q6393270,Ker Chien-ming
Q39047644,Idilia Foods
Q3590274,Norway national under-17 football team
Q16751186,Sylvester Turner
Q245247,King's College London
Q19509,Stade Rennais FC
Q5212656,Enfield Town F.C.
Q3018177,International Game Developers Association
Q4678926,Adam Cwejman
Q230865,Homare Sawa
Q518054,Mehmed Baždarević
Q193361,Carlos Moyá
Q58284,Guido Westerwelle
Q12037174,Milan Chovanec
Q179111,Social Democratic Party of Austria
Q1939211,Mississippi State University
Q5280285,Direct Line Group
Q425599,FK Jablonec
Q16886228,Jim Turley
Q1524298,STX Finland
Q427881,Royal Caribbean Group
Q17594408,Chennaiyin FC
Q16836329,ATK (football club)
Q246782,Chicago Cubs
Q5878421,Gerardo Villanueva Albarrán
Q3098518,Gary Bollan
Q107569,Club of Rome
Q27063336,Andy McKean
Q1786506,Southern California Institute of Architecture
Q6809265,Mehbooba Mufti
Q868421,"University of California, Irvine"
Q7815868,Tom Frieden
Q18121206,Opposition Bloc
Q3466996,Eric Swalwell
Q296833,Jack Rodwell
Q737936,Vejle Boldklub
Q219854,Philippines national football team
Q41720918,Rebecca Shipley
Q6993666,Neophytos Larkou
Q262742,Hilary Benn
Q63969036,Robert Moreno
Q579611,Haverford College
Q691912,Nebraska Cornhuskers
Q2928116,South Florida Bulls
Q818118,Benoît Hamon
Q16555,Houston
Q55876701,Kenneth Brander
Q400624,Ahmad Jannati
Q903822,Democratic Progressive Party
Q1216,Piedmont
Q42267,Spain national football team
Q2866091,Ary Chalus
Q6762000,Marian Vanghelie
Q11781520,Minister for Employment (Denmark)
Q7833292,Trần Đại Quang
Q33190271,Mark Esper
Q391169,Barry Gardiner
Q1029223,Arne Slot
Q3445459,Green List (2005)
Q19590854,Craig Silverstein
Q915217,SLAC National Accelerator Laboratory
Q12318947,Jakob Ellemann-Jensen
Q5147001,Collegium Civitas
Q6760836,Margunn Bjørnholt
Q23091499,Emily Drabinski
Q479171,Amber Rudd
Q1345942,University of East London
Q4964589,Brian Maienschein
Q63929445,Lucy Harris (politician)
Q1744051,Kjell Jonevret
Q6891619,Mohammad-Ali Najafi
Q1370658,Miroslav Beránek
Q249996,Keelung
Q849611,Lagos State University
Q4996949,Bullis School
Q6866108,Minister of Education (New Zealand)
Q300069,John Denham (politician)
Q2578006,Eugen Neagoe
Q926806,The Carlyle Group
Q20651353,Daniel P. Aldrich
Q7895938,University of North Carolina School of the Arts
Q10281320,Fernando Diniz
Q1340131,Matthew Wilson (cyclist)
Q898208,Honeywell
Q3155412,Ismail Ould Bedde Ould Cheikh Sidiya
Q10333,Valencia CF
Q638288,Strømsgodset IF
Q7836762,Treasurer of Western Australia
Q5461417,Florida Gators women's basketball
Q488174,Anatolii Mohyliov
Q1399218,Hanno Pevkur
Q216273,University of St Andrews
Q6971323,National Center for Ecological Analysis and Synthesis
Q499967,Turkish State Railways
Q7704792,Terry McPhillips
Q317216,Andoni Iraola
Q59315,Patrick Leahy
Q466989,Ali Krieger
Q464801,Steffen Radochla
Q64245468,Tahya Tounes
Q49110,Boston University
Q4680389,FC Dunărea Călărași
Q3044339,Japan national under-17 football team
Q1437140,Frank Blake
Q7342642,Robert C. O'Brien
Q2574904,FC Osipovichi
Q2507571,Adam Bielan
Q1142073,Kellogg School of Management
Q3159317,Jacques Le Nay
Q13124,Free Democratic Party (Germany)
Q524369,Steve Wynn
Q42882811,Camilla Speller
Q8072480,Zion-Benton Township High School
Q3589784,Spain national under-18 football team
Q2065769,University of Windsor
Q39183,FC Zlín
Q4681792,Adelaide Strikers
Q19878,Muammar Gaddafi
Q7013056,Attorney General of New York
Q34120,FC Dinamo City
Q23039404,Riccardo Piatti
Q188515,Los Angeles Times
Q5299433,Dothan Eagle
Q3195284,Kent County Cricket Club
Q7444421,Secretary of the Interior and Local Government
Q566486,Jan Schaffrath
Q5244721,Haruhiko Kuroda
Q24856203,You Young-min
Q8349914,Lin Yu-chang
Q169303,Rob Ford
Q604531,Antonio Razzi
Q6179106,Jennison Myrie-Williams
Q500086,Mario Aerts
Q1502402,Tim Bray
Q34433,University of Oxford
Q2010561,University of Buckingham
Q18711,Aston Villa F.C.
Q1247135,Charles III University of Madrid
Q628,Bergamo
Q20033296,Isabella Arendt
Q72176,Lakewood Church
Q13040485,Kadri Veseli
Q10359235,Renan Filho
Q816579,Ben Olsen
Q15146786,Rama Govindarajan
Q53738184,Ministry of Education (Russia)
Q2316438,Moestafa El Kabir
Q28857892,BIJ1
Q453925,FC Vaslui
Q372911,Adrian Fenty
Q5361084,Elin Jones
Q970732,Tim Sherwood
Q4414,Faure Gnassingbé
Q1438597,Fort Lewis College
Q84720784,Kanatbek Isaev
Q3787020,Houston Ballet
Q5303205,Downing Street Chief of Staff
Q45766,Mario Gómez
Q8273082,Chen Hsueh-sheng
Q2011720,Andriy Sadovyi
Q329711,Ján Valach
Q16685393,Pauwels Sauzen–Vastgoedservice
Q5449647,Financial Secretary to the Treasury
Q12023896,Jaroslav Kubera
Q161069,David Silva
Q11336634,HIFK Fotboll
Q11989087,Merete Riisager
Q908477,Gabala SC
Q1818865,Leon Barnett
Q670084,VEB.RF
Q1681147,James Jones (bishop)
Q2725999,University of Texas Southwestern Medical Center
Q2748448,Onda Cero
Q376247,Dimitri Payet
Q313300,Goh Chok Tong
Q317298,Sérgio Conceição
Q129027,Paul Pogba
Q34020,Niue
Q794028,Conservative People's Party of Estonia
Q187063,Lanai
Q186243,Iraq national football team
Q3166124,Jean-Henry Céant
Q62,San Francisco
Q3106294,Högaborgs BK
Q1249859,Rogério Ceni
Q233112,Abby Wambach
Q18340732,Meduza
Q982749,Valeriy Khoroshkovskyi
Q651129,TOP 09
Q381297,Deniz Baykal
Q61046702,MeRA25
Q3847972,Escola Superior de Propaganda e Marketing
Q378513,Željko Petrović
Q7606516,Stefanos Manos
Q96221110,Reneé Hall
Q2141800,Thomas Cook Group
Q1912019,Max Delbrück Center for Molecular Medicine in the Helmholtz Association
Q3497836,La Luz del Mundo
Q304944,České dráhy
Q209639,Karim Massimov
Q56486914,Lori Lightfoot
Q28025108,Maria Van Kerkhove
Q5068087,Chairman of Ways and Means
Q6679766,List of mayors of Belfast
Q612803,Serzh Sargsyan
Q6767407,Mark Drakeford
Q504272,Vice-Chancellor of Germany
Q29927,Slagelse Municipality
Q677570,FK Inter Bratislava
Q6597965,List of speakers of the Parliament of Iran
Q172435,New Orleans Saints
Q16192838,Senzo Mchunu
Q2962002,Chief of the Defence Staff (France)
Q1126189,London School of Hygiene & Tropical Medicine
Q3431340,Richard Yung
Q4247132,Shimer Great Books School
Q3866968,Qingdao F.C.
Q976659,Miika Elomo
Q3036410,Tammy Duckworth
Q493104,Daum (web portal)
Q28042832,Union of European Democrats
Q7314580,Chairman of the United States Senate Republican Conference
Q6356958,Hardin–Simmons University
Q48525,Federal government of the United States
Q4961047,Brendan O'Connor (politician)
Q2166335,University of Southern Denmark
Q2591113,Wolfgang Sandner
Q1726925,Maison Margiela
Q3838152,Luca Gotti
Q72845,Manuela Schwesig
Q3274573,Maciej Skorża
Q5205861,DOF ASA
Q14680594,Museum of Northern Arizona
Q29108,FC Zenit Saint Petersburg
Q149964,Eurogroup
Q4651207,ABFC Ocean Shield
Q2301213,United States Deputy Secretary of State
Q6838924,Micky Mellon
Q1876388,Lluís Carreras
Q962293,Celestino Migliore
Q20055561,Rishi Sunak
Q850258,FK Rudar Pljevlja
Q1220,Giorgio Napolitano
Q2054871,"Democratic Labour Party (Australia, 1978)"
Q5062545,Centre for Quantum Technologies
Q311177,Sergi Bruguera
Q1130570,Bnei Sakhnin F.C.
Q1303132,Strong Egypt Party
Q651506,Michael Wiesinger
Q4494406,Radiy Khabirov
Q7692144,Informa TechTarget
Q362185,Rigoberto Urán
Q445344,Carli Lloyd
Q503321,C.D. Guadalajara
Q28662924,Joaquim Forn
Q127992,Association for Computing Machinery
Q1498,Uttar Pradesh
Q1377801,Alloa Athletic F.C.
Q8068677,Zekirija Ramadani
Q169983,Curro Torres
Q16910059,Domenico Casalino
Q659875,Gábor Márton
Q1856805,Ricardo Patiño
Q278044,Vienna University of Economics and Business
Q3366024,Parramatta Eels
Q184387,Norway national football team
Q149815,Mirsad Jonuz
Q622443,Australia national rugby union team
Q3550462,Rationalist Union
Q1150437,Victoria University of Wellington
Q3773752,Governor of South Carolina
Q244847,United States men's national basketball team
Q671510,NPR
Q1892362,Marco Cappato
Q2256220,Cho Kwi-jae
Q2748467,Vicente Álvarez Areces
Q21712134,Ilya Sutskever
Q3525871,Rene Farrell
Q7362182,Roman Skuhravý
Q771228,Harrisburg City Islanders
Q59247339,Siniša Oreščanin
Q28434831,ACS Viitorul Târgu Jiu
Q21821359,Tihomir Orešković
Q7786759,Thoma Bravo
Q60776211,National World
Q381769,Chris Coleman (footballer)
Q168426,University of Münster
Q2495538,Oleksandr Babych
Q3805521,Jacek Magiera
Q26258815,Ana Brnabić
Q221702,Knattspyrnufélag Reykjavíkur
Q12167023,Ihor Kharchenko
Q41420,Borussia Dortmund
Q310522,Federal Office for the Protection of the Constitution
Q558334,Libertarian Party (United States)
Q505601,Wassenaar
Q7428470,Savvas Pantelidis
Q941404,Thomas Menino
Q97936245,Hilary Parker
Q1687698,Jernbaneverket
Q1085474,Yamaha Motor Racing
Q458986,Florentin Petre
Q19603,FC Twente
Q67477657,Father of the House (United Kingdom)
Q90312083,Whanganui District Health Board
Q747640,Citizens' Movement (Iceland)
Q172792,Darren Fletcher
Q326079,Cancer Research UK
Q165972,"Fort Lauderdale, Florida"
Q579968,University of Missouri
Q21705863,Committee for the Defence of Democracy
Q7320757,Rhizome (organization)
Q955513,Dragan Čavić
Q149990,University of Rochester
Q7614885,Steven Joyce
Q2837501,All India Majlis-e-Ittehadul Muslimeen
Q15332,Yabloko
Q65068820,Suzanne Eaton
Q18638003,Ben Simmons
Q310046,Peter Mandelson
Q42893791,Fraser Anning
Q3082845,Jean-Luc Moudenc
Q1465319,Mayor of Los Angeles
Q19458,Burnley F.C.
Q1165833,FC Slavia Mozyr
Q727147,FC Khimki
Q3205776,Vice President of Yemen
Q474153,The Economist Group
Q7263166,Pyotr Kachuro
Q15029,Hu Jintao
Q23010148,John Longworth (businessman)
Q1672798,Republic of Ireland national under-21 football team
Q16403144,Taavi Aas
Q182538,Pakistan national cricket team
Q42116087,Respublika (political party)
Q2756389,Perth Wildcats
Q788375,Gresham College
Q16189675,Antoni Comín
Q61768552,FC Arsenal Dzerzhinsk
Q4264248,Valentina Melnikova
Q1333933,Torcuato di Tella University
Q5082528,Charles Sinclair (businessman)
Q3366170,Wildrose Party
Q2936583,Canterbury-Bankstown Bulldogs
Q57092113,Romeu Zema
Q183108,Fabio Capello
Q218295,President of Russia
Q49631,David Alward
Q1005,The Gambia
Q845497,Lantmäteriet
Q156874,Law and Justice
Q7567606,South Kent School
Q16240936,Bloomfield Hills High School
Q3177241,New South Wales cricket team
Q1780231,Poland national under-21 football team
Q819187,German Physical Society
Q16878665,"Minister of Consumer Affairs, Food and Public Distribution"
Q7971960,Washington Huskies men's basketball
Q28033286,Luca Desiata
Q272712,Çaykur Rizespor
Q2302267,Radio Nacional de España
Q469010,Roland Ries
Q18402168,Yacouba Isaac Zida
Q10648,Gordon Brown
Q7994871,White House Deputy Chief of Staff
Q6310674,Mayor of Taipei
Q111899,Thomas Mirow
Q249192,Peter Caruana
Q1200258,Alfred P. Sloan Foundation
Q6811864,Melbourne Renegades
Q19308335,Sabine Schmidtke
Q24689,VVV-Venlo
Q82816,Daniel Ricciardo
Q580411,Matt White (cyclist)
Q50383811,Alternative for Sweden
Q1194023,Yokohama DeNA BayStars
Q153987,University of Freiburg
Q46366625,Elina Nechayeva
Q183314,Khyber Pakhtunkhwa
Q8021940,Willies Mchunu
Q1904,Ontario
Q656,Saint Petersburg
Q26703252,Brian Burston
Q12839,Cem Özdemir
Q65720660,Dino Skender
Q3091830,French Swimming Federation
Q57888,Norovyn Altankhuyag
Q55552687,Zdeněk Hřib
Q6070625,Marc Richards
Q553169,Vice President of China
Q1009,Cameroon
Q440277,Carlos Zambrano (footballer)
Q6062875,"Ion Barbu (footballer, born 1938)"
Q326953,Dario Andriotto
Q3305315,Paul Cook (footballer)
Q21814495,Karachi Kings
Q502907,Kjell Carlström
Q23771345,Tyler Dorsey
Q6830157,Michael F. Brennan
Q17442894,Pafos FC
Q16217237,Daniel Constantin (politician)
Q59679067,Sarah Spurgeon
Q4294468,Ministry of Science and Higher Education (Poland)
Q931865,Clarkson University
Q333520,David Mundell
Q3431607,Christian Hansen (politician)
Q4018,Navarre
Q5431104,Faisalabad cricket team
Q4377233,Leader of the Opposition (Sri Lanka)
Q48938,Dagenham & Redbridge F.C.
Q3873548,Italy national under-20 football team
Q166180,France 24
Q1036470,Kwansei Gakuin University
Q752425,EF Education–EasyPost
Q4739581,Amanda Butler
Q691730,Green Party of Canada
Q169814,Valentino Rossi
Q314073,Ifo Institute for Economic Research
Q7283169,Ragnar Søegaard
Q1926893,"Michael Bates, Baron Bates"
Q23073736,Minister for Industrial Relations (New South Wales)
Q6817725,Menzies Research Centre
Q964035,Computer History Museum
Q99660,Dietmar Woidke
Q165779,Ulrich Forte
Q25863345,Secretary of State for International Trade
Q219602,New York Jets
Q12025475,Jiří Rusnok
Q3716763,Dušan Kosič
Q194149,Alex Oxlade-Chamberlain
Q63499175,Ewa Paluch
Q7073561,Oak Hill Academy (Virginia)
Q24866,Social Democratic Party (Andorra)
Q2284361,New Party (Taiwan)
Q18159104,Deshaun Watson
Q208584,Helsingin Jalkapalloklubi
Q7185808,Phil Scott
Q1829500,Minister for Foreign Affairs (Ghana)
Q15895983,Trinbago Knight Riders
Q7938955,Vlado Jagodić
Q890970,Bohuslav Svoboda
Q30270820,Adolphe Merkle Institute
Q21179176,Marcel Ciolacu
Q6723910,Maciej Bartoszek
Q6517092,Jess Thorup
Q65475908,Ella Havelka
Q3343433,Nora Hamzawi
Q478279,Luke Freeman
Q13826,Isabela (province)
Q17089908,Governor of New Mexico
Q20648714,Women's Equality Party
Q89292,Joachim Starbatty
Q326181,Patrick Bamford
Q1236833,United Launch Alliance
Q9354713,Tadeusz Pawłowski
Q2855146,Portrait of Professor Benjamin H. Rand
Q334204,Morgan Stanley
Q10384918,Luke Foster
Q51577952,Julia Ebner
Q463130,Gianni Alemanno
Q290940,São Caetano Futebol Clube
Q3446766,Croatia national under-19 football team
Q12326451,Mattias Tesfaye
Q7786914,Thomas A. Shannon Jr.
Q20873229,Brian Wecht
Q16194512,Steve Dickson
